customer,status,transaction_date,id,transaction_type,our_reference,ext_reference,os_value,currency,rate,base_os_value,description,payment_terms,sl_analysis,due_date,due_year,due_week,pay_year,pay_week
CanDo Limited,O,2019-02-21,32376,I,19611,8950536445,2893.97,GBP,1,2893.97,"Time: 11:30
Ref: 0989184",65 Days from Invoice Date,Tier 1,2019-04-27,2019,17,2019,18
CanDo Limited,O,2019-02-25,32389,I,19620,8950536451,964.66,GBP,1,964.66,"Time: 11:30
Ref: 0989766",65 Days from Invoice Date,Tier 1,2019-05-01,2019,18,2019,18
CanDo Limited,O,2019-02-26,32393,I,19622,8950536454,964.66,GBP,1,964.66,"Time: 11:00
Ref: 0989971",65 Days from Invoice Date,Tier 1,2019-05-02,2019,18,2019,18
CanDo Limited,O,2019-02-28,32412,I,19635,8950536466,3858.62,GBP,1,3858.62,"Time: 12:00
Ref: 0990874",65 Days from Invoice Date,Tier 1,2019-05-04,2019,18,2019,18
CanDo Limited,O,2019-03-05,32429,I,19648,8950536475,964.66,GBP,1,964.66,"Time: 11:00
Ref: 0991698",65 Days from Invoice Date,Tier 1,2019-05-09,2019,19,2019,19
CanDo Limited,O,2019-03-07,32443,I,19652,8950536485,1929.31,GBP,1,1929.31,"Time: 12:30
Ref: 0992585",65 Days from Invoice Date,Tier 1,2019-05-11,2019,19,2019,19
CanDo Limited,O,2019-03-08,32447,I,19656,8950536487,964.66,GBP,1,964.66,"Time: 12:00
Ref: 0992862",65 Days from Invoice Date,Tier 1,2019-05-12,2019,19,2019,19
CanDo Limited,O,2019-03-11,32455,I,19658,8950536490,964.66,GBP,1,964.66,"Time: 11:00
Ref: 0993156",65 Days from Invoice Date,Tier 1,2019-05-15,2019,20,2019,20
CanDo Limited,O,2019-03-14,32475,I,19666,8950536509,1929.31,GBP,1,1929.31,"Time: 12:00
Ref: 0994304",65 Days from Invoice Date,Tier 1,2019-05-18,2019,20,2019,20
CanDo Limited,O,2019-03-15,32491,I,19675,8950536511,964.66,GBP,1,964.66,"Time: 11:30
Ref: 0994597",65 Days from Invoice Date,Tier 1,2019-05-19,2019,20,2019,20
CanDo Limited,O,2019-03-18,32499,I,19682,8950536518,964.66,GBP,1,964.66,"Time: 11:00
Ref: 0994904",65 Days from Invoice Date,Tier 1,2019-05-22,2019,21,2019,21
CanDo Limited,O,2019-03-20,32510,I,19689,8950536534,964.66,GBP,1,964.66,"Time: 11:00
Ref: 0995745",65 Days from Invoice Date,Tier 1,2019-05-24,2019,21,2019,21
CanDo Limited,O,2019-03-21,32513,I,19691,8950536538,670.03,GBP,1,670.03,"Time: 13:00
Ref: 0996078",65 Days from Invoice Date,Tier 1,2019-05-25,2019,21,2019,21
CanDo Limited,O,2019-03-26,32533,I,19703,8950536548,2893.97,GBP,1,2893.97,"Time:11:00
Ref: 0996962",65 Days from Invoice Date,Tier 1,2019-05-30,2019,22,2019,22
